connecticut senator  linda mcmahon on abortion i'm a pro-choice woman; not part of anti-woman agenda. (oct 2012)      
connecticut senator  linda mcmahon on abortion pro-choice but with limited federal funding. (jul 2010)      
connecticut senator  linda mcmahon on abortion  public abortion funding. (oct 2012)      
connecticut senator  linda mcmahon on abortion  parental notification for abortions. (oct 2012)      
connecticut senator  linda mcmahon on abortion  churches providing birth control. (oct 2012)  
connecticut senator  linda mcmahon on budget & economy  a constitutional bba. (oct 2012)  
connecticut senator  linda mcmahon on civil rights i'm proud of wwe history; it's not a "war on women". (jun 2012)      
connecticut senator  linda mcmahon on civil rights allow gays to openly serve in military, but do it cautiously. (mar 2010)      
connecticut senator  linda mcmahon on civil rights  a doma amendment. (oct 2012)  
connecticut senator  linda mcmahon on corporations we need more business people like me in washington. (jun 2012)      
connecticut senator  linda mcmahon on corporations businesses need regulatory certainty to risk hiring workers. (oct 2010)      
connecticut senator  linda mcmahon on corporations reduce the corporate tax rate. (sep 2010)      
connecticut senator  linda mcmahon on corporations ceo of wrestling business, a "testosterone-charged industry". (aug 2010)  
connecticut senator  linda mcmahon on crime supports capital punishment. (jul 2010)      
connecticut senator  linda mcmahon on crime  the death penalty. (oct 2012)  
connecticut senator  linda mcmahon on drugs 1989: wwe exonerated unanimously of steroid doctor misdeeds. (oct 2010)      
connecticut senator  linda mcmahon on drugs husband acquitted of steroid distribution in wwe. (mar 2010)  
connecticut senator  linda mcmahon on education 2009: member of connecticut board of education. (aug 2010)      
connecticut senator  linda mcmahon on education 2000: get real program: promoted reading among children. (aug 2010)      
connecticut senator  linda mcmahon on education supports competition, charters, and teacher review. (jul 2010)  
connecticut senator  linda mcmahon on energy & oil cap-and-trade is an energy tax. (oct 2010)      
connecticut senator  linda mcmahon on energy & oil more nuclear power; more domestic oil. (sep 2010)      
connecticut senator  linda mcmahon on energy & oil oppose cap-and-trade; support offshore drilling. (jul 2010)  
connecticut senator  linda mcmahon on foreign policy sustainable 2-state solution in israel; no settlement freeze. (sep 2010)  
connecticut senator  linda mcmahon on free trade implement colombia, panama, and korea free trade agreements. (sep 2010)  
